run,eps,tl,tu,post_processing,duration,unique_size,acc_size,hausdorff
3,1.0,0,3,post_centroid,0.08074522018432617,18,586.8991283427017,103.41059245852973
4,1.0,0,3,post_centroid,0.07988977432250977,12,438.38980437125946,104.44747632138804
5,1.0,0,3,post_centroid,0.07300925254821777,16,497.50734473841214,105.23803235750228
6,1.0,0,3,post_centroid,0.132415771484375,14,477.95606790327395,105.70116063096809
7,1.0,0,3,post_centroid,0.12743687629699707,32,938.3575050677873,94.46008343487698
8,1.0,0,3,post_centroid,0.10856175422668457,12,348.5545938099436,102.72617426142726
1,1.0,0,3,post_uniform,0.08247590065002441,30,886.9364637697952,105.78061818895173
2,1.0,0,3,post_uniform,0.08562707901000977,15,437.8662681809042,109.36655836496412
3,1.0,0,3,post_uniform,0.10095548629760742,26,782.270074885132,97.45268587000808
4,1.0,0,3,post_uniform,0.08534526824951172,13,386.8913624799241,96.08243959697703
5,1.0,0,3,post_uniform,0.09349942207336426,17,498.6463629951748,97.65549501185211
6,1.0,0,3,post_uniform,0.10988521575927734,18,537.9412743727218,108.78627205243063
7,1.0,0,3,post_uniform,0.13386201858520508,10,370.162214217003,100.52446816553041
8,1.0,0,3,post_uniform,0.07240986824035645,10,323.1856907905067,117.66643536800862
1,1.0,0,4,post_centroid,0.0820465087890625,14,547.438943837587,122.17808782155412
2,1.0,0,4,post_centroid,0.09989786148071289,3,132.327903574917,152.26770560969555
3,1.0,0,4,post_centroid,0.1100165843963623,8,416.58017607596923,144.545677388528
4,1.0,0,4,post_centroid,0.08583641052246094,3,113.32178938742196,150.856877887828
5,1.0,0,4,post_centroid,0.07773303985595703,4,154.1672175515355,145.7724532422791
6,1.0,0,4,post_centroid,0.14655733108520508,4,163.0887786695668,117.66020988814456
7,1.0,0,4,post_centroid,0.17948627471923828,3,120.25963891270537,124.7375756839207
8,1.0,0,4,post_centroid,0.10870361328125,8,284.84508188569,123.52816367829138
1,1.0,0,4,post_uniform,0.08690643310546875,8,298.6923775418016,116.96461919006478
2,1.0,0,4,post_uniform,0.10490894317626953,8,303.561869827844,118.89256511058626
3,1.0,0,4,post_uniform,0.07963180541992188,5,187.45754458684632,150.1975844466611
4,1.0,0,4,post_uniform,0.09052610397338867,4,188.60996035542854,121.44481775449482
5,1.0,0,4,post_uniform,0.08321452140808105,2,80.04452666450076,147.11870941012023
6,1.0,0,4,post_uniform,0.17338943481445312,13,492.9600624780881,124.0179904587911
7,1.0,0,4,post_uniform,0.09686851501464844,1,56.25146339604253,159.1426484476105
8,1.0,0,4,post_uniform,0.12646770477294922,11,415.91799920825815,121.11610681560757
1,1.0,0,5,,0.09697341918945312,0,0.0,
2,1.0,0,5,post_centroid,0.10166168212890625,2,97.90372137834444,172.04872759533728
3,1.0,0,5,post_centroid,0.08848142623901367,2,87.22403167226238,167.999288820511
4,1.0,0,5,post_centroid,0.12051200866699219,4,212.94782702881204,198.60428036158524
5,1.0,0,5,post_centroid,0.14930152893066406,3,160.1833937045726,158.199046163321
6,1.0,0,5,post_centroid,0.11727166175842285,4,193.3602230996084,146.45431142710015
7,1.0,0,5,post_centroid,0.1501760482788086,2,119.08265986825067,169.34830117468331
8,1.0,0,5,post_centroid,0.21399402618408203,5,228.47383261043623,165.35973297445514
1,1.0,0,5,post_uniform,0.08435606956481934,4,230.61306475474342,143.70486959384746
2,1.0,0,5,post_uniform,0.10863804817199707,6,312.7106094471463,150.98914000537354
3,1.0,0,5,post_uniform,0.08878183364868164,3,146.75820573062515,146.4300733181569
4,1.0,0,5,post_uniform,0.13489151000976562,13,594.6716247665739,139.15235421906996
5,1.0,0,5,post_uniform,0.11345624923706055,6,278.81853736699145,170.91135555893268
