run,eps,m,tl,tu,query_run,psi_distortion,dai_distortion
1,0.5,20,0,36,37,0.0,0.03208556149732616
1,0.5,20,0,36,38,0.8906249999999861,0.9999999999996666
1,0.5,20,0,36,39,0.0,0.03208556149732616
1,0.5,20,0,36,40,0.9999999999996666,0.0
1,0.5,20,0,36,41,0.0,0.03208556149732616
1,0.5,20,0,36,42,0.4358974358974247,0.7692307692307495
1,0.5,20,0,36,43,0.0,0.03208556149732616
1,0.5,20,0,36,44,0.0,0.03208556149732616
1,0.5,20,0,36,45,0.22699386503067345,0.7222222222222122
1,0.5,20,0,36,46,0.9999999999999761,0.9999999999999091
1,0.5,20,0,36,47,0.999999999999875,0.0
1,0.5,20,0,36,48,0.0,0.03208556149732616
1,0.5,20,0,36,49,0.9999999999998889,0.9999999999989999
1,0.5,20,0,36,50,0.0,0.0
1,0.5,20,0,36,51,0.32727272727272577,0.9999999999999413
1,0.5,20,0,36,52,0.0,0.03208556149732616
1,0.5,20,0,36,53,0.0,0.03208556149732616
1,0.5,20,0,36,54,0.0,0.03208556149732616
1,0.5,20,0,36,55,0.7656249999999881,0.8593749999999867
1,0.5,20,0,36,56,0.9999999999996666,0.9999999999995
1,0.5,20,0,36,57,0.0,0.03208556149732616
1,0.5,20,0,36,58,0.7534246575342363,0.6999999999999651
1,0.5,20,0,36,59,0.8139534883720867,0.9814814814814724
1,0.5,20,0,36,60,0.0,0.03208556149732616
1,0.5,20,0,36,61,0.0,0.03208556149732616
1,0.5,20,0,36,62,0.0,0.03208556149732616
1,0.5,20,0,36,63,0.4666666666666563,0.1249999999999948
1,0.5,20,0,36,64,0.7968749999999876,0.9999999999998571
1,0.5,20,0,36,65,0.0,0.03208556149732616
1,0.5,20,0,36,66,0.6986301369862918,0.9999999999989999
1,0.5,20,0,36,67,0.0,0.03208556149732616
1,0.5,20,0,36,68,0.0,0.03208556149732616
1,0.5,20,0,36,69,0.99999999999975,0.9999999999995
1,0.5,20,0,36,70,0.7619047619047257,0.9523809523809071
1,0.5,20,0,36,71,0.0,0.03208556149732616
1,0.5,20,0,36,72,0.0,0.03208556149732616
1,0.5,20,0,36,73,0.0,0.03208556149732616
1,0.5,20,0,36,74,0.0,0.03208556149732616
1,0.5,20,0,36,75,0.0,0.03208556149732616
1,0.5,20,0,36,76,0.9999999999989999,0.0
1,0.5,20,0,36,77,0.9999999999999667,0.9999999999998889
1,0.5,20,0,36,78,0.0,0.03208556149732616
1,0.5,20,0,36,79,0.8301886792452673,0.999999999999875
1,0.5,20,0,36,80,0.0,0.03208556149732616
1,0.5,20,0,36,81,0.0,0.03208556149732616
1,0.5,20,0,36,82,0.16666666666665975,0.9999999999997999
1,0.5,20,0,36,83,0.0,0.03208556149732616
1,0.5,20,0,36,84,0.0,0.03208556149732616
1,0.5,20,0,36,85,0.9999999999989999,0.0
1,0.5,20,0,36,86,0.9999999999999918,0.9999999999999902
1,0.5,20,0,36,87,0.0,0.03208556149732616
1,0.5,20,0,36,88,0.0,0.03208556149732616
1,0.5,20,0,36,89,0.9999999999989999,0.9999999999989999
1,0.5,20,0,36,90,0.0,0.03208556149732616
1,0.5,20,0,36,91,0.5714285714285443,0.0
1,0.5,20,0,36,92,0.4617169373549873,0.27692307692307266
1,0.5,20,0,36,93,0.37499999999999417,0.99999999999975
1,0.5,20,0,36,94,0.0,0.03208556149732616
