run,eps,m,tl,tu,duration,hausdorff
7,1.0,60,0,6,28.447052717208862,90.99402102122309
8,1.0,60,0,6,28.204918146133423,75.54000674846053
1,1.0,60,0,7,29.13690423965454,83.55667887098265
2,1.0,60,0,7,28.12453317642212,87.25601913372579
3,1.0,60,0,7,26.64077115058899,92.41640470734204
4,1.0,60,0,7,28.998233318328857,85.2642880243923
5,1.0,60,0,7,28.799553394317627,89.03512664625612
6,1.0,60,0,7,28.65350079536438,116.10103441745272
7,1.0,60,0,7,29.05850601196289,79.84953407463465
8,1.0,60,0,7,29.30911898612976,96.3611795922973
1,1.0,60,0,8,30.269134998321533,105.55111557600029
2,1.0,60,0,8,29.387723445892334,104.51578943918923
3,1.0,60,0,8,29.642377614974976,96.19101697319725
4,1.0,60,0,8,30.616435289382935,101.96297499049905
5,1.0,60,0,8,31.112407207489014,94.84647683462326
6,1.0,60,0,8,30.690370559692383,103.83681431083396
7,1.0,60,0,8,30.73874068260193,99.30829250089026
8,1.0,60,0,8,30.832460641860962,99.37762374666617
1,1.0,60,0,9,31.346195220947266,134.51043850749727
2,1.0,60,0,9,29.876139640808105,102.5945819748061
3,1.0,60,0,9,28.682634592056274,78.11467965999438
4,1.0,60,0,9,31.515308380126953,87.04924246690648
5,1.0,60,0,9,31.283071994781494,149.56107042129838
6,1.0,60,0,9,31.2079861164093,107.05009909591449
7,1.0,60,0,9,31.59130358695984,112.17120007224334
8,1.0,60,0,9,30.550253868103027,102.69915776126348
1,1.0,60,0,18,37.300050497055054,97.71881080486003
2,1.0,60,0,18,32.582172870635986,86.99464516953182
3,1.0,60,0,18,36.833526611328125,85.10913685898637
4,1.0,60,0,18,37.34713888168335,85.34222814320539
5,1.0,60,0,18,36.4163932800293,70.36946627788178
6,1.0,60,0,18,37.478554248809814,87.29007027371217
7,1.0,60,0,18,37.16922855377197,87.14056134656195
8,1.0,60,0,18,35.47790837287903,75.2143382138625
1,1.0,60,0,36,45.6260347366333,135.48807197342398
2,1.0,60,0,36,45.48948788642883,183.47802638791356
3,1.0,60,0,36,44.76222777366638,122.36477250548899
4,1.0,60,0,36,45.383397579193115,142.92371716863966
5,1.0,60,0,36,44.37441897392273,178.5827514107075
6,1.0,60,0,36,42.41374468803406,129.50190280189057
7,1.0,60,0,36,43.83445620536804,152.65705344616657
8,1.0,60,0,36,43.94790267944336,124.88187484366182
